drug_name,gene,level_of_evidence
Fenofibrate,IL6,3
Imatinib,SLC22A5,3
Carvedilol,UGT1A1,3
"Cladribine,Cytarabine",RRM2,3
"Cladribine,Cytarabine",RRM2B,3
"Cladribine,Cytarabine",RRM1,3
Fluorouracil,ABCC11,3
Bisphosphonates,SFRP5,3
Methotrexate,DHFR,3
"Adalimumab,Etanercept,Infliximab,Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors",PTPRC,3
"Antiinflammatory Agents, Non-Steroids",CDKN2B-AS1,3
Debrisoquine,CYP2D6,3
"Cisplatin,Fluorouracil,Oxaliplatin",VEGFA,3
Zonisamide,HLA-A,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin",IFNL3,3
Antipsychotics,BDNF-AS,3
Antipsychotics,BDNF,3
Cyclophosphamide,VEGFA,3
Montelukast,SLCO2B1,3
Gemcitabine,SLC29A1,3
"Carboplatin,Cisplatin",SLC31A1,3
Bisphosphonates,TBC1D32,3
"Fluorouracil,Oxaliplatin",,3
"Carboplatin,Cisplatin,Docetaxel,Erlotinib,Gefitinib,Paclitaxel",MAP3K1,3
"Cyclophosphamide,Doxorubicin",SLC22A16,3
"Cisplatin,Irinotecan",,3
"Atorvastatin,Simvastatin",ABCC2,3
Sildenafil,VEGFA,3
Methotrexate,TNFAIP3,3
Losartan,STK39,3
"Bupropion,Nicotine",EPB41,3
Antipsychotics,HTR2A,3
"Carboplatin,Cyclophosphamide,Thiotepa",ALDH1A1,3
Irinotecan,TOP1,3
Eculizumab,C5,3
Exemestane,,3
Capecitabine,,3
Glyburide,G6PD,3
Chloramphenicol,G6PD,3
Phenazopyridine,G6PD,3
Nitrofurantoin,G6PD,3
Morphine,ABCB1,3
Gemcitabine,CDA,3
Ondansetron,SLC6A4,3
Clomipramine,SLC6A4,3
Enalapril,NR3C2,3
"Antidepressants,Antiepileptics,Beta Blocking Agents,Calcium Channel Blockers",ACE,3
Opioids,COMT,3
"Cisplatin,Cyclophosphamide",EPHX1,3
"Cisplatin,Cyclophosphamide",ADH1C,3
"Cisplatin,Cyclophosphamide",TPMT,3
"Cisplatin,Cyclophosphamide",MUTYH,3
"Cisplatin,Cyclophosphamide",NAT2,3
Platinum,ERCC5,3
"Cisplatin,Cyclophosphamide",LIG3,3
"Clozapine,Olanzapine",GCG,3
Rhodamine 123,ABCB1,3
"Anastrozole,Letrozole",ESR1,3
Gemcitabine,SLC28A3,3
"Cytarabine,Idarubicin",DCK,3
"Asparaginase,Cyclophosphamide,Cytarabine,Daunorubicin,Dexamethasone,Doxorubicin,Leucovorin,Mercaptopurine,Methotrexate,Pegaspargase,Prednisone,Thioguanine,Vincristine",GATA3,3
Warfarin,FPGS,3
Escitalopram,BMP5,3
Diltiazem,PLCD3,3
Radiotherapy,TANC1,3
Heroin,GRM3,3
Dimercaprol,G6PD,3
Ciprofloxacin,G6PD,3
Aspirin,G6PD,3
Sulfadoxine,G6PD,3
Sulfasalazine,G6PD,3
Allopurinol,HLA-DRB1,3
Atorvastatin,MYLIP,3
Methotrexate,ATIC,3
"Gemcitabine,Paclitaxel",SLC29A1,3
Vincristine,CAPG,3
Vincristine,ABCB1,3
Vincristine,ACTG1,3
Allopurinol,HLA-C,3
Allopurinol,,3
Allopurinol,PSORS1C3,3
Allopurinol,POU5F1,3
Irinotecan,KCNQ5,3
Imatinib,BCL2L11,3
Tacrolimus,PPARA,3
Platinum Compounds,ATP7B,3
Repaglinide,NR1I2,3
Opioids,OPRD1,3
Opioids,GAL,3
Opioids,OPRM1,3
Atenolol,PTGS2,3
Atenolol,PLA2G4A,3
Atenolol,GALNT2,3
Atenolol,ABCB1,3
Atenolol,FTO,3
"Anastrozole,Exemestane",,3
"Analgesics,Antiinflammatory Agents, Non-Steroids,Ergot Alkaloids,Opioids,Sumatriptan",HTR2A,3
"Analgesics,Antiinflammatory Agents, Non-Steroids,Ergot Alkaloids,Opioids,Sumatriptan",DBH,3
"Analgesics,Antiinflammatory Agents, Non-Steroids,Ergot Alkaloids,Opioids,Sumatriptan",BDNF,3
"Analgesics,Antiinflammatory Agents, Non-Steroids,Ergot Alkaloids,Opioids,Sumatriptan",DRD2,3
Allopurinol,HLA-A,3
Itopride,FMO3,3
Hmg-Coa Reductase Inhibitors,HLA-G,3
Allopurinol,HLA-B,3
"Azathioprine,Mercaptopurine",HLA-DRB1,3
"Azathioprine,Mercaptopurine",HLA-DQA1,3
"Azathioprine,Mercaptopurine",,3
Clopidogrel,ITGB3,3
Trichloroethylene,HLA-B,3
Oxcarbazepine,HLA-B,3
Carbamazepine,HLA-B,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin",HLA-B,3
Antiepileptics,HLA-B,3
Acetazolamide,HLA-B,3
Carbamazepine,ABCC2,3
Acenocoumarol,VKORC1,3
"Amoxicillin,Clavulanate",HLA-B,3
Sulfasalazine,HLA-B,3
Phenprocoumon,PPARA,3
Simvastatin,UGT1A9,3
Cocaine,CNR1,3
Risperidone,NR1I2,3
Bevacizumab,CFH,3
Tamoxifen,,3
Tamoxifen,E2F7,3
Antidepressants,CREB1,3
Olanzapine,GSTM3,3
Olanzapine,ANKK1,3
Olanzapine,CYP2C9,3
Olanzapine,TPMT,3
Olanzapine,UGT1A1,3
Galantamine,CYP2D6,3
Platinum Compounds,XBP1,3
Fluoxetine,HTR1A,3
Docetaxel,ABCC2,3
Deferiprone,UGT1A6,3
"Clozapine,Olanzapine",TBC1D1,3
Ethanol,ADH1B,3
Metformin,SLC22A1,3
Pemetrexed,DHFR,3
Mycophenolate Mofetil,SLCO1B1,3
Atomoxetine,SLC6A2,3
Olanzapine,ABCB1,3
Bevacizumab,CXCL8,3
Mycophenolate Mofetil,CYP2C8,3
Gemcitabine,DAPK1,3
Rituximab,IL2,3
Citalopram,BDNF,3
"Efavirenz,Nelfinavir",ABCB1,3
Doxorubicin,GSTA1,3
"Bevacizumab,Pegaptanib,Ranibizumab",VEGFA,3
Ustekinumab,HLA-C,3
Capecitabine,DPYD,3
Capecitabine,ENOSF1,3
Methamphetamine,GRIN1,3
"Dextroamphetamine,Methylphenidate",DRD1,3
"Fluticasone Propionate,Montelukast",,3
"Fluticasone Propionate,Montelukast",CA10,3
Escitalopram,IL11,3
Fluorouracil,EGFR,3
Methylphenidate,DRD3,3
Egfr Inhibitors,EGFR,3
"Cetuximab,Irinotecan,Panitumumab",AREG,3
"Cetuximab,Irinotecan,Panitumumab",EGFR,3
Irinotecan,UGT1A1,3
Sunitinib,CYP3A5,3
Aspirin,HLA-DPB1,3
Tiotropium,ADRB2,3
Topiramate,GRIK1,3
Docetaxel,ORM2,3
"Sulfonamides, Urea Derivatives",KCNJ11,3
"Benazepril,Imidapril",AGT,3
Deferasirox,ABCC2,3
Platinum Compounds,ERCC3,3
Platinum Compounds,XPA,3
Platinum Compounds,ERCC4,3
Platinum Compounds,APLF,3
Platinum Compounds,ERCC2,3
Platinum Compounds,CXXC4,3
Platinum Compounds,WNT5B,3
Platinum Compounds,WIF1,3
Platinum Compounds,AXIN2,3
Methotrexate,MTR,3
Antidepressants,CRHR1,3
Citalopram,NEDD4L,3
Rosiglitazone,PAX4,3
Pemetrexed,GGH,3
Pemetrexed,FOLR3,3
Pemetrexed,SLC19A1,3
"Capecitabine,Fluorouracil",EXO1,3
"Capecitabine,Fluorouracil",UMPS,3
"Capecitabine,Fluorouracil",REV3L,3
Carvedilol,ADRB2,3
"Capecitabine,Fluorouracil",ABCB1,3
"Capecitabine,Fluorouracil",DLG5,3
"Capecitabine,Fluorouracil",PTEN,3
"Capecitabine,Fluorouracil",CYP19A1,3
Aspirin,CHIA,3
Acetaminophen,"UGT1A,UGT1A9",3
Aspirin,SLC30A9,3
Aspirin,HLA-DPB2,3
Aspirin,,3
Aspirin,TSC1,3
Aspirin,THRA,3
Metformin,CAPN10,3
Latanoprost,PTGS1,3
Latanoprost,ABCC4,3
Pioglitazone,ADIPOQ,3
Valproic Acid,SOD2,3
Imatinib,SLC22A4,3
Metformin,,3
Metformin,SP1,3
Metformin,PPARA,3
Hmg-Coa Reductase Inhibitors,CELSR2,3
Hmg-Coa Reductase Inhibitors,SLCO1B1,3
Hmg-Coa Reductase Inhibitors,,3
"Insulin Recombinant,Zinc Acetate",SLC30A8,3
"Interferon Alfa-2A, Recombinant,Interferon Alfa-2B, Recombinant,Ribavirin",FTO,3
Clonidine,GNB3,3
Imatinib,GSTT1,3
"Antihypertensives,Beta Blocking Agents",GRK5,3
Nevirapine,CYP2B6,3
Risperidone,HRH3,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,TNFRSF10A,3
Irinotecan,UGT1A6,3
Haloperidol,COMT,3
"Lamivudine,Lopinavir,Ritonavir,Zidovudine",ABCC1,3
Eculizumab,CR1,3
Docetaxel,VEGFA,3
Imatinib,ABCG2,3
Levodopa,HOMER1,3
Warfarin,GGCX,3
Imatinib,CYP2B6,3
Corticosteroids,HDAC1,3
Tacrolimus,,3
Sulfasalazine,ABCG2,3
Imatinib,SLC22A1,3
Sn-38,UGT1A9,3
"Donepezil,Galantamine,Rivastigmine",CHRNA7,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,IL1B,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,IL1RN,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,TLR9,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,TLR2,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,CD14,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,IL17A,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,TNFAIP3,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,IL6,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,TLR4,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,CNPY4,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,TNFRSF1A,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,IFNG,3
Tacrolimus,KCNQ1,3
Tacrolimus,IL10,3
Tacrolimus,ABCB1,3
Gemcitabine,CMPK1,3
Hmg-Coa Reductase Inhibitors,ABCB1,3
Methylphenobarbital,CYP2C19,3
Vitamin E,CYP4F2,3
Succinylcholine,BCHE,3
Isoproterenol,ADRB2,3
Clozapine,NTRK2,3
Clozapine,FKBP5,3
Nevirapine,TRAF3IP2,3
Aspirin,TAPBP,3
"Dasatinib,Imatinib",ABCG2,3
"Dasatinib,Imatinib,Nilotinib",ABCG2,3
Phenprocoumon,STX4,3
Phenprocoumon,CYP2C9,3
Nicotine,FMO1,3
Xk469,AOX1,3
Tamoxifen,RRAS2,3
"Gemcitabine,Platinum Compounds",RRM1,3
Celecoxib,ALOX12,3
Nicotine,UGT2B10,3
Aspirin,PTGIR,3
Tenofovir,OCRL,3
Gemcitabine,,3
Escitalopram,HTR1B,3
Citalopram,PAPLN,3
Verapamil,NR1H3,3
Nevirapine,CYP2C19,3
Hmg-Coa Reductase Inhibitors,CFAP44,3
Aspirin,PTGER2,3
"Peginterferon Alfa-2A,Ribavirin",VDR,3
Levodopa,DBH,3
Timolol,,3
"Antiinflammatory Agents, Non-Steroids",PTGS1,3
Warfarin,THBD,3
Radiotherapy,CDK1,3
Paclitaxel,FGD4,3
Radiotherapy,PRKCE,3
"Ace Inhibitors, Plain,Angiotensin Ii Antagonists,Beta Blocking Agents,Digoxin,Diuretics,Spironolactone",NOS3,3
Enalapril,BDKRB2,3
"Enalapril,Imidapril,Lisinopril",BDKRB2,3
Bisphosphonates,KCNT2,3
Sildenafil,NOS3,3
"Adalimumab,Etanercept,Infliximab,Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors",TRAF1,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,TNF,3
Methadone,ALDH5A1,3
Risperidone,CCL2,3
Phenobarbital,ABCB1,3
Venlafaxine,CYP2C19,3
Etravirine,CYP2C19,3
Gemcitabine,ALG10,3
Rosuvastatin,FMO3,3
"Ace Inhibitors, Plain",ACE,3
"Interferons,Ribavirin",BCL2,3
"Adalimumab,Etanercept,Infliximab",IL6,3
Timolol,ADRB1,3
Clopidogrel,,3
Warfarin,EPHX1,3
Fluoxetine,ABCB1,3
Paroxetine,GDNF,3
"Olanzapine,Quetiapine,Risperidone,Ziprasidone",,3
Haloperidol,,3
Vardenafil,CYP3A5,3
Aspirin,PTGER3,3
Aspirin,ACE,3
Aspirin,TLR3,3
Aspirin,AGT,3
"Olanzapine,Quetiapine,Risperidone,Ziprasidone",EIF2AK4,3
Haloperidol,EIF2AK4,3
Celecoxib,IL23R,3
Mycophenolate Mofetil,UGT2B7,3
Methotrexate,SLC16A7,3
Metformin,SLC47A2,3
Sunitinib,FLT4,3
Simvastatin,SLCO1B1,3
"Topiramate,Zonisamide",CA12,3
"Cytarabine,Idarubicin",NT5C3A,3
Enalapril,,3
Selective Serotonin Reuptake Inhibitors,DRD2,3
Fluoxetine,,3
Celecoxib,PTGES,3
Fexofenadine,SLCO2B1,3
Warfarin,HNF4A,3
Olanzapine,AHR,3
Citalopram,TPH2,3
Thiazolidinediones,AQP2,3
Hmg-Coa Reductase Inhibitors,ADAMTS1,3
Hydrochlorothiazide,TCF7L2,3
Celecoxib,PTGER4,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,TNFRSF1B,3
Naltrexone,OPRD1,3
Entacapone,COMT,3
Citalopram,CACNA1C,3
Nicotine,GRIN3A,3
Aspirin,COL26A1,3
Methamphetamine,ARRB2,3
Estradiol,,3
"Methylprednisolone,Prednisolone",ABCB1,3
Etoposide,ABCB1,3
Imatinib,SLCO1A2,3
Hydrochlorothiazide,GPR83,3
Candesartan,GPR83,3
Citalopram,RORA,3
Citalopram,DTNBP1,3
"Citalopram,Escitalopram",GLDC,3
Citalopram,CRHR2,3
Pravastatin,IL1B,3
Tacrolimus,CYP3A5,3
Simvastatin,LEPR,3
Methotrexate,SLCO1B1,3
Lovastatin,SLCO1B1,3
Rifampin,SLCO1B1,3
Atorvastatin,SLCO1B1,3
Paroxetine,COMT,3
Selective Serotonin Reuptake Inhibitors,SLC1A1,3
Olanzapine,CHAT,3
"Clozapine,Olanzapine,Risperidone",DRD2,3
Olanzapine,CYP3A43,3
Influenza Vaccines,HLA-DQB1,3
Clozapine,HLA-DRB3,3
Ticlopidine,HLA-B,3
Methylene Blue,G6PD,3
Ticlopidine,HLA-C,3
Pazopanib,UGT1A1,3
Methotrexate,SLC22A11,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin",MICB,3
"Deleobuvir,Faldaprevir","IFNL3,IFNL4",3
Propofol,CYP2B6,3
Antithymocyte Globulin,FCGR3A,3
Pertussis Vaccines,TLR4,3
Daunorubicin,NOS3,3
Melphalan,SLC7A5,3
Naltrexone,DBH,3
"Clozapine,Olanzapine",MTHFR,3
Salvianolic Acid B,NOS3,3
"Capecitabine,Radiotherapy",AREG,3
"Capecitabine,Radiotherapy",ERCC1,3
Cotinine,NAT1,3
Rocuronium,SLCO1B1,3
Methotrexate,ABCC4,3
Adalimumab,ATG16L1,3
Valproic Acid,LEPR,3
Valproic Acid,ANKK1,3
Bilirubin,UGT1A,3
Irinotecan,UGT1A,3
Paclitaxel,SOD2,3
Paclitaxel,ERCC1,3
Docetaxel,ERCC1,3
Atorvastatin,POR,3
Clozapine,HTR1A,3
Clozapine,COMT,3
Tacrolimus,HSD11B1,3
Haloperidol,ABCB5,3
"Interferon Beta-1A,Interferon Beta-1B",CD58,3
Cisplatin,GSTP1,3
Anastrozole,UGT1A4,3
Bupropion,CYP2C19,3
Benazepril,MTHFR,3
Daptomycin,ABCB1,3
Hydrochlorothiazide,ILKAP,3
Hydrochlorothiazide,TET2,3
Hydrochlorothiazide,FBXL17,3
Hydrochlorothiazide,CSMD1,3
Hydrochlorothiazide,SLIT1,3
Hydrochlorothiazide,DIAPH3,3
Hydrochlorothiazide,UGGT2,3
Hydrochlorothiazide,ANKFN1,3
Metformin,SLC22A3,3
"Epirubicin,Fluorouracil,Oxaliplatin",PON1,3
"Anthracyclines And Related Substances,Cyclophosphamide,Doxorubicin,Epirubicin,Fluorouracil,Methotrexate,Oxaliplatin,Platinum Compounds",NOS3,3
Fentanyl,,3
Erlotinib,CYP1A2,3
Olanzapine,BDNF,3
Antipsychotics,IL1B,3
Fentanyl,KCNJ6,3
Valproic Acid,POLG,3
"Bevacizumab,Capecitabine,Fluorouracil,Irinotecan,Leucovorin,Oxaliplatin",VEGFA,3
Montelukast,,3
Montelukast,GALNT17,3
Montelukast,MLLT3,3
"Anastrozole,Letrozole",TNFSF11,3
"Anastrozole,Letrozole",TNFRSF11B,3
Cytarabine,ABCB1,3
Metformin,SLC22A2,3
Bupropion,CYP2B6,3
"Aripiprazole,Clozapine,Haloperidol,Olanzapine,Quetiapine,Risperidone",FAAH,3
"Clozapine,Olanzapine,Risperidone",CNR1,3
"Maprotiline,Opipramol",CYP2D6,3
Ketamine,CYP2B6,3
Anthracyclines And Related Substances,ECT2L,3
Asparaginase,HLA-DRB1,3
Asparaginase,NFATC2,3
Vancomycin,,3
"Ace Inhibitors, Plain",KCNIP4,3
"Carboplatin,Taxanes",GSR,3
"Carboplatin,Taxanes",ATP7B,3
"Carboplatin,Taxanes",SCN10A,3
"Drugs Used In Nicotine Dependence,Nicotine,Varenicline",CHRNA5,3
Sunitinib,CXCL8,3
Sunitinib,IL13,3
"Atenolol,Bisoprolol",,3
Atenolol,,3
"Trandolapril,Verapamil",PTPRD,3
Codeine,UGT2B7,3
Sunitinib,NR1I2,3
Fluorouracil,LGR5,3
"Adrenergics, Inhalants",,3
Nicotine,,3
Metformin,FMO5,3
Atorvastatin,FDPS,3
Carbamazepine,NR1I2,3
Citalopram,GRIA3,3
Beta Blocking Agents,GNB3,3
"Follitropin Beta,Thyrotropin Alfa,Urofollitropin",FSHR,3
Efavirenz,CYP2B6,3
"Farglitazar,Glyburide",SCNN1B,3
Calcium Channel Blockers,TANC2,3
Methadone,CYP3A4,3
Efavirenz,IL10,3
Cilostazol,CYP3A5,3
Cyclophosphamide,CYP2C19,3
Varenicline,CHRNA4,3
Opium Alkaloids And Derivatives,CHRNA3,3
"Fluorouracil,Irinotecan,Leucovorin",ABCC5,3
"Fluorouracil,Irinotecan,Leucovorin",,3
"Fluorouracil,Irinotecan,Leucovorin",ABCG1,3
"Amlodipine,Chlorthalidone,Lisinopril",AGT,3
"Acetaminophen,Aspirin,Diclofenac,Propionic Acid Derivatives,Pyrazolones",PLA2G4A,3
"Acetaminophen,Aspirin,Diclofenac,Propionic Acid Derivatives,Pyrazolones",TNFRSF11A,3
"Acetaminophen,Aspirin,Diclofenac,Propionic Acid Derivatives,Pyrazolones",PLCG1,3
Amodiaquine,CYP2C8,3
"Antidepressants,Citalopram,Clomipramine,Lithium,Nefazodone,Paroxetine,Venlafaxine",FKBP5,3
Clopidogrel,CYP1A2,3
Clopidogrel,P2RY12,3
"Aspirin,Beta Blocking Agents,Clopidogrel,Hmg-Coa Reductase Inhibitors",NOS3,3
"Aspirin,Clopidogrel",ITGA2,3
"Aspirin,Clopidogrel",PTGS1,3
"Aspirin,Clopidogrel",PEAR1,3
Clopidogrel,CES1P1,3
"Aspirin,Clopidogrel",CYP4F2,3
Antipsychotics,,3
"Capecitabine,Fluorouracil",HLA-G,3
Letrozole,CYP19A1,3
"Hmg-Coa Reductase Inhibitors,Letrozole",CYP19A1,3
Warfarin,NQO1,3
Sorafenib,VEGFA,3
Sorafenib,KDR,3
Sorafenib,ABCB1,3
"Donepezil,Galantamine,Rivastigmine",CHAT,3
"Desloratadine,Mizolastine",FCER1A,3
Efavirenz,ABCC2,3
"Capecitabine,Fluorouracil,Leucovorin,Oxaliplatin",SELE,3
"Exemestane,Letrozole",ESR1,3
Letrozole,ESR1,3
Agomelatine,ABCB1,3
Venlafaxine,ABCB1,3
Selective Serotonin Reuptake Inhibitors,ABCB1,3
Atenolol,LRRC15,3
Metoprolol,LRRC15,3
Hydrochlorothiazide,LRRC15,3
Rivastigmine,CHAT,3
Galantamine,CHAT,3
Donepezil,CHAT,3
Telmisartan,GNB3,3
Quetiapine,DRD3,3
Modafinil,ABCB1,3
Silibinin,ABCB1,3
Amisulpride,DRD2,3
Corticosteroids,ST13,3
Fluvoxamine,FGF2,3
Antipsychotics,ADCY2,3
Antipsychotics,NRG1,3
"Cyclosporine,Mycophenolate Mofetil,Sirolimus,Tacrolimus",UGT1A8,3
"Adalimumab,Infliximab",FCGR2A,3
Infliximab,FCGR3A,3
Sunitinib,ABCB1,3
Antihypertensives,ATP2B1,3
Antipsychotics,GRM3,3
Antipsychotics,NRXN1,3
Atorvastatin,HMGCR,3
Bevacizumab,ARMS2,3
Drugs For Treatment Of Tuberculosis,CYP2E1,3
Ethanol,CAT,3
Hepatitis Vaccines,IL13,3
Hepatitis Vaccines,IL4R,3
Imiquimod,TLR7,3
Infliximab,TNF,3
Voriconazole,CYP3A4,3
Regadenoson,AMPD1,3
Pegloticase,G6PD,3
"Atorvastatin,Rifampin",SLCO1B1,3
Lovastatin,CYP3A5,3
Pravastatin,ADAMTS1,3
Peginterferon Alfa-2B,HLA-DPA1,3
Phenytoin,HLA-B,3
Selective Beta-2-Adrenoreceptor Agonists,VDR,3
"Adalimumab,Certolizumab Pegol,Etanercept,Glucocorticoids,Infliximab,Methotrexate",ATP5F1E,3
Clozapine,GRIN2B,3
"Adalimumab,Certolizumab Pegol,Etanercept,Glucocorticoids,Infliximab,Methotrexate",HLA-E,3
Selective Serotonin Reuptake Inhibitors,PLCB1,3
Olanzapine,GIPR,3
"Capecitabine,Fluorouracil,Tegafur",TYMS,3
Selective Serotonin Reuptake Inhibitors,,3
"Exemestane,Letrozole",CYP19A1,3
Platinum Compounds,HOTAIR,3
Enalapril,SLCO1B1,3
Platinum Compounds,MALAT1,3
Platinum Compounds,H19,3
Milnacipran,ADRA2A,3
Platinum Compounds,,3
"Antipsychotics,Risperidone",LEP,3
Exemestane,ESR1,3
Cisplatin,REV3L,3
Cyclophosphamide,GSTA1,3
Milnacipran,HTR1A,3
Risperidone,GRID2,3
"Cyclophosphamide,Dexamethasone,Lenalidomide,Thalidomide",CTNNB1,3
"Lenalidomide,Thalidomide",CTNNB1,3
Risperidone,GRM7,3
Cisplatin,REV1,3
Clopidogrel,IRS1,3
"Infliximab,Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors",TNFRSF1B,3
Asparaginase,SOD2,3
"Interferon Beta-1A,Interferon Beta-1B",,3
"Interferon Beta-1A,Interferon Beta-1B",FHIT,3
"Interferon Beta-1A,Interferon Beta-1B",GAPVD1,3
"Ace Inhibitors, Plain,Angiotensin Ii Antagonists,Beta Blocking Agents,Digoxin,Diuretics,Spironolactone",ADRB2,3
Terbutaline,ADRB2,3
"Atenolol,Metoprolol",ADRB2,3
Platinum Compounds,ABCB1,3
Voriconazole,ABCB1,3
Nifedipine,ADRA1A,3
Phenprocoumon,EPHX1,3
Gemcitabine,SLC28A2,3
"Carboplatin,Cisplatin,Gemcitabine",NRAS,3
Infliximab,IL1B,3
"Carboplatin,Cisplatin,Docetaxel,Gemcitabine,Paclitaxel",RAF1,3
"Carboplatin,Cisplatin,Gemcitabine",,3
"Carboplatin,Cisplatin,Docetaxel,Paclitaxel",MAP3K1,3
"Carboplatin,Cisplatin,Docetaxel,Gemcitabine,Paclitaxel",ACSS2,3
"Carboplatin,Cisplatin,Docetaxel,Paclitaxel",,3
"Carboplatin,Cisplatin,Gemcitabine",GPX5,3
Phenprocoumon,PROC,3
Catecholamines,ADRB1,3
Risperidone,,3
Gemcitabine,RRM1,3
Enalapril,NOS3,3
Gemcitabine,SLC28A1,3
Tamoxifen,ABCC2,3
Ramipril,ACE,3
Nitrendipine,AGTR1,3
Angiotensin Ii,AGTR1,3
Perindopril,AGTR1,3
Quinapril,AGT,3
Icotinib,CYP2C19,3
Nevirapine,ABCC10,3
Nevirapine,CCHCR1,3
Nevirapine,TCF19,3
Nevirapine,POLR3G,3
Nevirapine,,3
"Bevacizumab,Pemetrexed",GGH,3
Tipifarnib,ABCB1,3
Bupropion,DRD2,3
Nicotine,DRD2,3
Valproic Acid,GRIN2B,3
Gefitinib,EGFR,3
"Cetuximab,Irinotecan,Leucovorin,Tegafur",EGFR,3
Methamphetamine,DAOA,3
Salbutamol,DUSP1,3
Methamphetamine,HTR1A,3
Ethanol,TAS2R16,3
"Catecholamines,Metformin",SLC22A3,3
Nicotine,POR,3
Atenolol,PROX1,3
"Conjugated Estrogens,Medroxyprogesterone",VDR,3
Irinotecan,UGT1A9,3
Fluvastatin,CYP3A4,3
"Fluvastatin,Simvastatin",LIPC,3
Pravastatin,LIPC,3
Lovastatin,LDLR,3
"Atorvastatin,Simvastatin",PON1,3
Pravastatin,ABCC2,3
Nelfinavir,CYP2C19,3
