drug_name,gene,level_of_evidence
Atorvastatin,LEPR,3
"Efavirenz,Lopinavir,Nucleoside And Nucleotide Reverse Transcriptase Inhibitors,Ritonavir",,3
Gemcitabine,FKBP5,3
Cefotaxime,SLC22A8,3
Hydrochlorothiazide,NEDD4L,3
Cocaine,DRD2,3
"Pravastatin,Simvastatin",RHOA,3
"Asparaginase,Dexamethasone,Methotrexate",PYGL,3
"Ace Inhibitors, Plain",AGT,3
Imatinib,ULK3,3
Corticosteroids,TBX21,3
Flupirtine,HLA-DRB1,3
Allopurinol,HLA-DQB1,3
Flupirtine,HLA-DQB1,3
Nicotine,DDC,3
Clozapine,DRD1,3
Cannabinoids,FAAH,3
Tamoxifen,CYP3A4,3
Fenofibrate,LPL,3
"Thiazides, Plain",ACE,3
"Thiazides, Plain",AGTR1,3
"Thiazides, Plain",GNB3,3
"Antiepileptics,Carbamazepine",ABCB1,3
Antiepileptics,ABCB1,3
Olanzapine,PPARG,3
"Atorvastatin,Simvastatin",CYP3A4,3
"Ethambutol,Isoniazid,Pyrazinamide,Rifampin",NAT2,3
Atorvastatin,PON1,3
Methylphenidate,ADGRL3,3
Aspirin,NAT2,3
Fluorouracil,IGFBP3,3
Fluorouracil,,3
Tamoxifen,CYP2C19,3
Perindopril,BDKRB1,3
Aspirin,TBXAS1,3
Antipsychotics,LEPR,3
Sorafenib,,3
Sorafenib,NOS3,3
Tegafur,CYP2A6,3
Lithium,OR52E2,3
Lithium,ASIC2,3
Somatropin Recombinant,COL1A1,3
Testosterone,UGT1A4,3
Nevirapine,CYP2D6,3
Methadone,UGT2B7,3
Topotecan,ABCG2,3
Difluorodeoxyuridine,CDA,3
Gemcitabine,NT5C3A,3
Gemcitabine,SH2D5,3
Gemcitabine,TENT4A,3
Gemcitabine,DCTD,3
Gemcitabine,CDC5L,3
Exemestane,AKR1C3,3
Exemestane,AKR1C4,3
Corticosteroids,TAAR6,3
"Bufuralol,Dextromethorphan",CYP2D6,3
"Carboplatin,Paclitaxel",SLCO1B3,3
"Atazanavir,Lopinavir,Ritonavir,Tenofovir",ABCC2,3
"Cladribine,Fluorouracil,Gemcitabine",NT5C1A,3
Dimethyl Fumarate,GSTP1,3
"Amlodipine,Chlorthalidone,Lisinopril",,3
Valproic Acid,COL1A1,3
Ranibizumab,NRP1,3
Topiramate,INSR,3
Asparaginase,CPA2,3
Antipsychotics,ABCB1,3
Tolperisone,CYP2D6,3
Cotinine,,3
Phenobarbital,HLA-B,3
Cotinine,PSMA4,3
Cotinine,CHRNA3,3
Atenolol,PRKCB,3
Sulfinpyrazone,UGT1A9,3
Efavirenz,NR1I3,3
Carbamazepine,UGT2B7,3
Carbamazepine,ABCB1,3
Carbamazepine,CYP3A4,3
"Bupropion,Drugs Used In Nicotine Dependence",CYP2A6,3
Dipeptidyl Peptidase 4 (Dpp-4) Inhibitors,CDKAL1,3
Docetaxel,VAC14,3
Fluorouracil,DPYD,3
Fluorouracil,TYMS,3
Rivastigmine,BCHE,3
Donepezil,CYP2D6,3
Irbesartan,CYP2C9,3
Rivastigmine,ACHE,3
Ritonavir,ABCB1,3
"Cyclophosphamide,Cytarabine,Daunorubicin,Mercaptopurine,Methotrexate,Prednisone,Vincristine",DROSHA,3
Endoxifen,,3
"Anastrozole,Exemestane",MAP4K4,3
Antineoplastic Agents,RBFOX1,3
Enalapril,VEGFA,3
"Bevacizumab,Capecitabine,Oxaliplatin",MGAT4A,3
"Bevacizumab,Capecitabine,Cetuximab,Oxaliplatin",MGAT4A,3
"Citalopram,Escitalopram",ERICH3,3
Brivaracetam,CYP2C19,3
Irinotecan,NR1I2,3
"Cisplatin,Gemcitabine",CMPK1,3
"Cisplatin,Gemcitabine",RRM1,3
Mycophenolic Acid,UGT1A9,3
"Antiinflammatory Agents, Non-Steroids,Aspirin",,3
Docetaxel,NR1I2,3
Docetaxel,,3
Docetaxel,RXRA,3
Antiepileptics,,3
"Cyclophosphamide,Cytarabine,Daunorubicin,Dexamethasone,Doxorubicin,Methotrexate,Pegaspargase,Prednisone,Thioguanine,Vincristine",,3
Cisplatin,LRP2,3
Busulfan,GSTA1,3
Calcium Channel Blockers,NUMA1,3
Calcium Channel Blockers,PICALM,3
Hmg-Coa Reductase Inhibitors,SREBF1,3
Docetaxel,HNF4A,3
Docetaxel,NR1I3,3
Indinavir,CYP3A4,3
"Lansoprazole,Tacrolimus",ABCB1,3
"Cytarabine,Daunorubicin,Etoposide,Mitoxantrone",SLCO1B1,3
"Doxorubicin,Doxorubicinol",SLC22A16,3
Antipsychotics,DRD2,3
Antidepressants,HTR2A,3
"Alemtuzumab,Chlorambucil,Cyclophosphamide,Fludarabine,Prednisone,Rituximab,Vincristine",CXCL12,3
Photodynamic Therapy,F13A1,3
Interferons,STAT3,3
Antidepressants,,3
Cyclosporine,CTLA4,3
Antidepressants,FHIT,3
Antidepressants,MTRF1L,3
Antidepressants,RGS17,3
Antidepressants,PON2,3
Antidepressants,CTNNA3,3
Antidepressants,CACNA1A,3
Nicotine,DRD1,3
Adalimumab,HFE,3
Pravastatin,LDLR,3
Adalimumab,TF,3
Dexamethasone,SERPINE1,3
Ticagrelor,UGT2B7,3
Ticagrelor,CYP3A4,3
Ticagrelor,SLCO1B1,3
Mercaptopurine,TPMT,3
"Chlorpromazine,Clozapine,Haloperidol,Olanzapine,Quetiapine,Risperidone,Trifluoperazine",EPM2A,3
Adalimumab,CRP,3
Adalimumab,ATG5,3
Rasagiline,DRD2,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,CERS6,3
Telaprevir,CYP24A1,3
Bisoprolol,ACY3,3
Losartan,NPHS1,3
Mycophenolic Acid,ABCC2,3
Mycophenolic Acid,SLCO1B1,3
Tamoxifen,NCOA1,3
Tamoxifen,LRMDA,3
Bupropion,GALR1,3
Nicotine,GALR1,3
Codeine,ABCB1,3
Hydrochlorothiazide,DOT1L,3
Nicotine,CHRM2,3
Dabigatran,ABCB1,3
Dabigatran,CES1,3
Aspirin,SLC6A12,3
"Amantadine,Anticholinergics,Dopamine Agonists,Levodopa,Selegiline",SLC22A1,3
Fenofibrate,APOB,3
Cotinine,CHRNA5,3
Opium Alkaloids And Derivatives,CHRNA5,3
"Nicotine,Opium Alkaloids And Derivatives",CHRNA5,3
Nicotine,CHRNB2,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin",SLC29A1,3
Stavudine,TNF,3
Nicotine,CHRNB4,3
Nicotine,CHRNA3,3
Nicotine,CHRNA5,3
Deferasirox,CYP1A2,3
Deferasirox,CYP1A1,3
"Amiodarone,Antibiotics,Antipsychotics,Diuretics,Quinidine,Sotalol",KCNE1,3
Methamphetamine,DRD3,3
"Fluoxetine,Sertraline",ACE,3
"Bumetanide,Furosemide,Torasemide",GNB3,3
"Bumetanide,Furosemide,Torasemide",ADD1,3
"Fluorouracil,Leucovorin,Oxaliplatin",ABCC2,3
"Carboplatin,Cisplatin",PIK3CA,3
"Carboplatin,Cisplatin",PTEN,3
"Carboplatin,Cisplatin",,3
"Bleomycin,Dacarbazine,Doxorubicin,Vinblastine",GSTM1,3
"Irinotecan,Oxaliplatin,Tegafur / Gimeracil / Oteracil",UGT1A7,3
"Irinotecan,Oxaliplatin,Tegafur / Gimeracil / Oteracil",UGT1A6,3
"Peginterferon Alfa-2B,Ribavirin",CYP27B1,3
"Peginterferon Alfa-2B,Ribavirin",,3
"Docetaxel,Epirubicin",MDM4,3
"Cyclophosphamide,Epirubicin,Fluorouracil",CYP1B1,3
"Bevacizumab,Fluorouracil,Irinotecan,Leucovorin",RGS5,3
"Cyclophosphamide,Docetaxel",VEGFA,3
"Peginterferon Alfa-2B,Protease Inhibitors,Ribavirin",SLC28A2,3
"Doxorubicin,Methotrexate,Prednisolone,Vincristine",ABCB1,3
"Cyclophosphamide,Epirubicin,Paclitaxel",CYP1B1,3
"Bleomycin,Cyclophosphamide,Doxorubicin,Prednisone,Rituximab,Vincristine,Vindesine",ABCB1,3
"Interferons,Ribavirin",IL18,3
"Mercaptopurine,Methotrexate",PACSIN2,3
"Peginterferon Alfa-2B,Ribavirin",SLC6A4,3
"Peginterferon Alfa-2B,Ribavirin",IL6,3
"Cisplatin,Fluorouracil,Mitoxantrone",GALNT14,3
"Mercaptopurine,Methotrexate",FOLH1,3
"Antivirals For Treatment Of Hiv Infections, Combinations,Drugs For Treatment Of Tuberculosis",CYP2B6,3
"Antivirals For Treatment Of Hiv Infections, Combinations,Drugs For Treatment Of Tuberculosis",ABCB1,3
"Cyclosporine,Dicloxacillin",ABCB1,3
"Cyclophosphamide,Fluorouracil,Methotrexate",FGFR4,3
Dihydropyridine Derivatives,NOS1AP,3
Ethanol,CHRNA3,3
"Capecitabine,Oxaliplatin",PTGS2,3
Methadone,GNB3,3
Methamphetamine,ESR1,3
Amphetamine,DRD2,3
Methadone,KCNJ6,3
Analgesics,KCNJ6,3
Flucloxacillin,NR1I2,3
Repaglinide,NOS1AP,3
Ethanol,CHRNA5,3
Cocaine,CHRNA5,3
Repaglinide,IGF2BP2,3
Clozapine,SLC6A3,3
Rosuvastatin,CRP,3
Rosuvastatin,,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin",LDLR,3
"Capecitabine,Oxaliplatin",VEGFA,3
"Antidepressants,Citalopram","CREB1,METTL21A",3
"Doxorubicin,Doxorubicinol",CBR1,3
Doxorubicin,CBR1,3
Carbamazepine,"HSPA1A,HSPA1L",3
Gemcitabine,ESR2,3
Repaglinide,KCNJ11,3
"Bumetanide,Furosemide,Torasemide",SLC12A3,3
Tacrolimus,CAPN10,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin,Simeprevir",IFNL3,3
"Atorvastatin,Bisphosphonates",FDPS,3
Alendronate,MVK,3
"Interferon Beta-1A,Interferon Beta-1B",ZNF697,3
"Anastrozole,Exemestane",TUBB1,3
"Atazanavir,Ritonavir",UGT1A1,3
Aspirin,ZBTB22,3
"Carboplatin,Taxanes",VEGFA,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B",CXCL10,3
"Carboplatin,Lonafarnib,Paclitaxel",FNTB,3
Cotinine,CHRNB4,3
"Atazanavir,Ritonavir",UGT1A7,3
"Atazanavir,Ritonavir",UGT1A3,3
"Cyclophosphamide,Cytarabine,Daunorubicin,Dexamethasone,Doxorubicin,Methotrexate,Pegaspargase,Prednisone,Thioguanine,Vincristine",DOK5,3
"Cyclophosphamide,Cytarabine,Daunorubicin,Dexamethasone,Doxorubicin,Methotrexate,Pegaspargase,Prednisone,Thioguanine,Vincristine",BMP7,3
"Cyclophosphamide,Cytarabine,Daunorubicin,Dexamethasone,Doxorubicin,Methotrexate,Pegaspargase,Prednisone,Thioguanine,Vincristine",LINC00251,3
Letrozole,ESR2,3
Efavirenz,HNF4A,3
Platinum Compounds,EIF3A,3
Antidepressants,RAPGEF5,3
Antidepressants,CRH,3
Antidepressants,PARP11,3
Antidepressants,NBEA,3
Ticagrelor,CYP3A43,3
Busulfan,GSTM1,3
Olanzapine,PMCH,3
"Anastrozole,Exemestane,Letrozole",CYP19A1,3
Exemestane,CYP19A1,3
Antipsychotics,INSIG2,3
Midazolam,VDR,3
Asparaginase,GRIA1,3
Aripiprazole,TAAR6,3
"Cyclosporine,Mycophenolate Mofetil",TNF,3
Triamcinolone,HCG22,3
Aspirin,TGFB1,3
"Peginterferon Alfa-2A,Ribavirin",ITPA,3
Olanzapine,CYP1A1,3
Olanzapine,IL1A,3
Montelukast,LTC4S,3
Valproic Acid,UGT1A6,3
Rosuvastatin,CYP3A5,3
Carbamazepine,"LTA,TNF",3
Leflunomide,DHODH,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,PON1,3
Erythromycin,CYP3A4,3
Carbamazepine,HSPA1L,3
Selective Beta-2-Adrenoreceptor Agonists,ARG1,3
Bupropion,COMT,3
"Cisplatin,Cyclophosphamide",GSTA1,3
"Cisplatin,Irinotecan",UBE2I,3
Abacavir,"LST1,LTA,LTB",3
Citalopram,HTR1B,3
Latanoprost,PTGFR,3
"Cyclophosphamide,Docetaxel,Doxorubicin,Epirubicin,Fluorouracil",SLCO1B1,3
Tamoxifen,UGT1A4,3
Tocilizumab,CD69,3
Tocilizumab,GALNT18,3
Cisplatin,"CSNK2A3,GALNT18",3
Cisplatin,MLLT3,3
Cisplatin,RARS1,3
Allopurinol,CYCSP5,3
Warfarin,CYP2C19,3
Zafirlukast,CYP2C9,3
Clozapine,ITIH3,3
Methotrexate,"ADORA2A,ADORA2A-AS1",3
Valganciclovir,ABCC4,3
Valganciclovir,ABCB1,3
"Axitinib,Sorafenib",HIF1A,3
Imatinib,CYP3A5,3
Dalcetrapib,ADCY9,3
Mercaptopurine,GNMT,3
Metformin,SLC2A2,3
Methadone,,3
Platinum Compounds,IL16,3
Platinum Compounds,IL1B,3
Warfarin,POR,3
Warfarin,DDHD1,3
Warfarin,NEDD4,3
Warfarin,ASPH,3
Sorafenib,SLCO1B1,3
Sorafenib,ABCC2,3
Captopril,ACE,3
Raloxifene,ESR1,3
Raloxifene,UGT1A8,3
Clindamycin,HLA-B,3
Clopidogrel,B4GALT2,3
Warfarin,CYP4F2,3
"Ephedrine,Phenylephrine",ADRB2,3
"Fentanyl,Propofol,Remifentanil,Sevoflurane",ADRB2,3
Docetaxel,CYP3A4,3
"Peginterferon Alfa-2A,Ribavirin",SCARB1,3
Oxcarbazepine,HLA-DRB1,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin,Simeprevir",IFNL4,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin","IFNL3,IFNL4",3
Antibiotics,LGALS3,3
Etanercept,CD84,3
Ustekinumab,IL12B,3
Rifampin,CUX2,3
Rifampin,RIPOR2,3
Rifampin,AGBL4,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin",,3
"Adalimumab,Certolizumab Pegol,Etanercept,Glucocorticoids,Infliximab,Methotrexate",KLRD1,3
"Adalimumab,Certolizumab Pegol,Etanercept,Glucocorticoids,Infliximab,Methotrexate",KLRC1,3
Carbamazepine,CYP3A5,3
Warfarin,STX1B,3
Warfarin,CYP1A1,3
Warfarin,DNMT3A,3
"Azathioprine,Mercaptopurine",ABCC4,3
"Azathioprine,Mercaptopurine",FTO,3
Rituximab,,3
Rosiglitazone,SLCO1B1,3
"Amitriptyline,Antidepressants,Citalopram,Fluvoxamine,Paroxetine,Sertraline,Venlafaxine",ABCB1,3
Irinotecan,TGFB1,3
Irinotecan,TGFBR2,3
Zileuton,PRORP,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,IL23R,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,CTLA4,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,SLC12A8,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,FBXL19,3
Quetiapine,COMT,3
Furosemide,ABCC4,3
"Carbamazepine,Phenobarbital,Phenytoin,Valproic Acid",CYP1A1,3
Granisetron,CYP3A5,3
Granisetron,CYP1A1,3
Interferon Beta-1A,HLA-DRB1,3
Interferon Beta-1A,HLA-B,3
"Adalimumab,Etanercept,Infliximab",FCGR3A,3
Gefitinib,ABCB1,3
Bevacizumab,EDN1,3
Bevacizumab,VEGFA,3
Clozapine,GSTM1,3
Clozapine,GSTT1,3
Antidepressants,NTRK2,3
Antipsychotics,GRIK3,3
Antipsychotics,SLC18A2,3
"Allopurinol,Febuxostat","UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9",3
"Allopurinol,Febuxostat",AOX1,3
Bevacizumab,CXCR4,3
Exemestane,CYP3A4,3
"Fluorouracil,Leucovorin,Oxaliplatin",ERCC1,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,PGLYRP4,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,CTNNA2,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,MAP3K1,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,IL12B,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,CDKAL1,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,HLA-C,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,ZNF816,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,IL17RA,3
Levodopa,DRD2,3
Lamotrigine,HLA-B,3
Carbamazepine,HLA-C,3
Phenytoin,HLA-C,3
Tocilizumab,IL6R,3
Tacrolimus,FOXP3,3
Sn-38,ABCC1,3
Irinotecan,ABCC1,3
Ticagrelor,PEAR1,3
Morphine,UGT2B7,3
Clozapine,,3
Rivaroxaban,ABCB1,3
"Ledipasvir,Sofosbuvir","IFNL3,IFNL4",3
Sirolimus,POR,3
Sirolimus,IL10,3
Hydrochlorothiazide,VASP,3
Cetuximab,EGFR,3
Platinum Compounds,GSTP1,3
"3,4-Methylenedioxymethamphetamine",CYP2B6,3
Ivacaftor,SLC26A9,3
Venlafaxine,SLC6A2,3
Cotinine,UGT2B10,3
Fluoxetine,HTR1B,3
"Atenolol,Verapamil",PLEKHH2,3
Atenolol,DPYS,3
Capecitabine,CES1,3
Capecitabine,CES1P1,3
"Peginterferon Alfa-2B,Ribavirin",CYP2R1,3
Opioids,FAAH,3
Morphine,FAAH,3
Tacrolimus,IL18,3
Clozapine,C3,3
Oxcarbazepine,"UGT1A10,UGT1A7,UGT1A8,UGT1A9",3
"Lenalidomide,Thalidomide",FGF2,3
Antihypertensives,CLNK,3
Selective Serotonin Reuptake Inhibitors,ADRA2A,3
Amisulpride,ANKS1B,3
Sulindac,FMO3,3
"Atorvastatin,Fluvastatin,Hmg-Coa Reductase Inhibitors,Pravastatin,Rosuvastatin,Simvastatin",HLA-DRB1,3
Tacrolimus,CTLA4,3
Tacrolimus,IL3,3
Clopidogrel,PEAR1,3
Rocuronium,SLCO1A2,3
Anastrozole,ABCB1,3
Anastrozole,CYP19A1,3
Phenytoin,CYP2C19,3
Cisplatin,TPMT,3
Cisplatin,SLC31A1,3
Methotrexate,FOXP3,3
Capecitabine,UMPS,3
Capecitabine,SLC22A7,3
Capecitabine,TYMS,3
Atazanavir,ABCB1,3
Atazanavir,CYP3A4,3
"Cyclophosphamide,Epirubicin,Fluorouracil",PIGB,3
"Cyclophosphamide,Epirubicin,Fluorouracil",,3
Gemtuzumab Ozogamicin,CD33,3
"Ethambutol,Isoniazid,Pyrazinamide,Rifampin",CYP2B6,3
Warfarin,CYP4F11,3
Cisplatin,COMT,3
Clopidogrel,ABCB1,3
Beta Blocking Agents,ADRB1,3
"Salbutamol,Selective Beta-2-Adrenoreceptor Agonists",CRHR2,3
Mercaptopurine,NUDT15,3
Nevirapine,GSTM1,3
Heparin,HLA-DRB3,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin",EGFR,3
Everolimus,ABCB1,3
Everolimus,FGFR4,3
Everolimus,PIK3R1,3
Venlafaxine,COMT,3
Fluorouracil,TPMT,3
Tacrolimus,C6,3
Tenofovir,ABCG2,3
Dolutegravir,ABCG2,3
Valproic Acid,CYP2C9,3
"Drugs For Treatment Of Tuberculosis,Isoniazid",ABCB1,3
Drugs For Treatment Of Tuberculosis,NAT2,3
"Ethambutol,Isoniazid,Pyrazinamide,Rifampin",TNF,3
Oseltamivir,CES1,3
Hormonal Contraceptives For Systemic Use,F11,3
Hormonal Contraceptives For Systemic Use,KNG1,3
Glatiramer Acetate,,3
Hormonal Contraceptives For Systemic Use,SUGCT,3
Hormonal Contraceptives For Systemic Use,ABO,3
Hormonal Contraceptives For Systemic Use,CYP2C9,3
Ethanol,SLC6A3,3
Methadone,CDH2,3
"Peginterferon Alfa-2B,Ribavirin",HLA-C,3
Etanercept,STAT4,3
Etanercept,PSORS1C1,3
Antithyroid Preparations,FOXF2,3
Antithyroid Preparations,HLA-B,3
Antithyroid Preparations,EHMT2,3
Isoniazid,BACH1,3
Salbutamol,ADRB2,3
Isoniazid,XPO1,3
Isoniazid,MAFK,3
Clopidogrel,CES1,3
Valproic Acid,"UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9",3
"Platinum Compounds,Radiotherapy",,3
Oxcarbazepine,UGT2B7,3
"Cisplatin,Gemcitabine","ERCC1,POLR1G,PPP1R13L",3
"Cisplatin,Pemetrexed",ABCC2,3
"Cisplatin,Gemcitabine","ERCC2,KLC3",3
Lumefantrine,CYP3A5,3
Lumefantrine,"CYP3A5,ZSCAN25",3
Lumefantrine,CYP3A4,3
Warfarin,VKORC1L1,3
Midazolam,CYP3A5,3
"Amisulpride,Aripiprazole,Clozapine,Lithium,Mirtazapine,Olanzapine,Paliperidone,Quetiapine,Risperidone,Valproic Acid",SH2B1,3
"Amisulpride,Aripiprazole,Clozapine,Lithium,Mirtazapine,Olanzapine,Paliperidone,Quetiapine,Risperidone,Valproic Acid",RABEP1,3
"Remifentanil,Sevoflurane",ABCB1,3
Imatinib,ABCB1,3
"Sirolimus,Temsirolimus",NR1I2,3
"Sirolimus,Temsirolimus",ABCB1,3
Lithium,EPHX2,3
Lithium,GRAMD1B,3
Lithium,MYO1H,3
Lithium,FAM178B,3
Lithium,ZNF804A,3
Lithium,ADCY1,3
Lithium,FAM177A1,3
"Fluorouracil,Platinum Compounds,Radiotherapy",ERCC1,3
Platinum Compounds,XPC,3
"Tipiracil Hydrochloride,Trifluridine",SLC29A1,3
"Sulfonamides, Urea Derivatives",CYP2C9,3
"Sofosbuvir,Velpatasvir,Voxilaprevir","IFNL3,IFNL4",3
Metformin,SLC47A1,3
"Atazanavir,Ritonavir",CYP3A5,3
Atazanavir,CYP3A5,3
"Hdl Cholesterol,Letrozole,Triglycerides",CYP19A1,3
"Metformin,Sulfonamides, Urea Derivatives",KCNJ11,3
"Carbamazepine,Phenytoin,Valproic Acid",GABRA1,3
Sunitinib,POR,3
Sunitinib,SLCO1B3,3
Cocaine,BCHE,3
Ustekinumab,TIRAP,3
Ustekinumab,TLR5,3
"Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,Ustekinumab",IL1B,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,LY96,3
"Fluorouracil,Platinum Compounds,Radiotherapy",XRCC4,3
Ritodrine,CACNA1C,3
Nevirapine,HLA-B,3
"Bupropion,Nicotine,Varenicline",CHRNA5,3
Nevirapine,HLA-DRB1,3
"Capecitabine,Fluorouracil",TYMP,3
Deferasirox,ABCG2,3
"Isoniazid,Rifampin",GSTP1,3
"Fluorouracil,Platinum Compounds,Radiotherapy","TMEM167A,XRCC4",3
Atazanavir,NR1I2,3
"Atorvastatin,Simvastatin",RYR2,3
Pazopanib,KDR,3
Deferasirox,UGT1A3,3
Opioids,DBH,3
Cyclosporine,CYP3A5,3
Platinum Compounds,XRCC3,3
Buprenorphine,OPRD1,3
Ethanol,DRD2,3
Allopurinol,NOTCH4,3
Nicotine,FMO3,3
Deferasirox,CYP24A1,3
Aripiprazole,DRD2,3
"Antiinflammatory Agents, Non-Steroids",IL10,3
"Antiinflammatory Agents, Non-Steroids",CTLA4,3
"Acetaminophen,Ibuprofen,Loxoprofen,Salicylamide",,3
Ketorolac,,3
Tramadol,ABCB1,3
Corticosteroids,BCL2L11,3
Warfarin,GATA4,3
Warfarin,VDR,3
Sildenafil,CYP3A4,3
Somatropin Recombinant,CDK4,3
"Doxorubicin,Idarubicin",CYBA,3
"Doxorubicin,Idarubicin",NCF4,3
"Doxorubicin,Idarubicin",RAC2,3
Idarubicin,NCF4,3
Idarubicin,RAC2,3
Drugs Used In Diabetes,IRS1,3
Imatinib,EGFR,3
"3,4-Methylenedioxymethamphetamine",SLC6A2,3
"Cetuximab,Panitumumab",KRAS,3
Cyclosporine,POR,3
Tacrolimus,SUMO4,3
Omeprazole,ABCB1,3
Dapoxetine,CYP2D6,3
"Caffeine,Chlorocresol",RYR1,3
Tacrolimus,TLR4,3
Allopurinol,PSORS1C1,3
Metformin,AMHR2,3
Opioids,"OPRL1,RGS19",3
Opioids,"LKAAEAR1,OPRL1",3
Methylphenidate,PEBP4,3
Methylphenidate,ZDHHC7,3
Methylphenidate,ZNF134,3
Methylphenidate,ARSA,3
Methylphenidate,SPSB2,3
Methylphenidate,ZNF211,3
Methylphenidate,CORO7,3
Methylphenidate,FXR2,3
Methylphenidate,ZNF565,3
Methylphenidate,ELP5,3
Methylphenidate,CDH23,3
Methylphenidate,ARHGAP12,3
Methylphenidate,PIGM,3
Methylphenidate,CHURC1,3
Methylphenidate,TRIB3,3
Methylphenidate,CMTM8,3
Methylphenidate,PDIA2,3
Methylphenidate,OPCML,3
Methylphenidate,ETFDH,3
