drug_name,gene,level_of_evidence
Methylphenidate,NFIB,3
Methylphenidate,ARHGEF28,3
Methylphenidate,SENP3,3
Methylphenidate,ESYT2,3
Methylphenidate,RRP7A,3
Methylphenidate,HTT,3
Methylphenidate,FARP2,3
Methylphenidate,GGH,3
Methylphenidate,,3
Methylphenidate,PURA,3
Duloxetine,,3
Duloxetine,NRXN1,3
Duloxetine,ZNF385D,3
Duloxetine,SKIC3,3
Duloxetine,TREML4,3
Duloxetine,INVS,3
Duloxetine,TEX10,3
Duloxetine,FCN2,3
Duloxetine,ANO2,3
Duloxetine,ATP10A,3
Duloxetine,MIEF2,3
Valproic Acid,UGT2B7,3
Clopidogrel,CYP2C19,3
Atorvastatin,AGTR1,3
Atorvastatin,BDKRB2,3
Aspirin,UGT1A6,3
Atorvastatin,ABCC2,3
Lamotrigine,HLA-A,3
"Granisetron,Palonosetron",ERCC1,3
Granisetron,ABCB1,3
"Dexamethasone,Lenalidomide",ABCB1,3
Methadone,CYP2B6,3
Heroin,SOD2,3
Tacrolimus,CYP3A7,3
Tacrolimus,CYP2J2,3
Tacrolimus,ABCC2,3
Tacrolimus,CYP2C8,3
"Fluvoxamine,Milnacipran,Paroxetine",MDGA2,3
Acenocoumarol,CALU,3
"Cotinine,Nicotine",OPRM1,3
"Chlorothiazide,Hydrochlorothiazide",HMGCS2,3
"Chlorothiazide,Hydrochlorothiazide",,3
Antineoplastic Agents,ABCB1,3
"Cocaine,Heroin",OPRM1,3
Irinotecan,ABCB1,3
Ivacaftor,CFTR,3
Methadone,ABCB1,3
Oxycodone,UGT2B7,3
"Analgesics,Antiinflammatory Agents, Non-Steroids,Ergot Alkaloids,Opioids,Sumatriptan",OPRM1,3
Apixaban,ABCG2,3
Apixaban,CYP3A5,3
"Acenocoumarol,Warfarin",APOE,3
Vitamin K And Analogues,CYP4F2,3
Ethanol,KLB,3
"Cyclophosphamide,Epirubicin,Fluorouracil",IRS1,3
"Cyclophosphamide,Epirubicin,Fluorouracil",GNL3,3
"Cyclophosphamide,Epirubicin,Fluorouracil",HMMR,3
"Cyclophosphamide,Epirubicin,Fluorouracil",PERP,3
"Cyclophosphamide,Epirubicin,Fluorouracil",PPP2R5D,3
"Cyclophosphamide,Epirubicin,Fluorouracil",CYP2C8,3
"Cyclophosphamide,Epirubicin,Fluorouracil",TP53AIP1,3
"Cyclophosphamide,Epirubicin,Fluorouracil",NOS1,3
"Cyclophosphamide,Epirubicin,Fluorouracil",FOXO1,3
"Cyclophosphamide,Epirubicin,Fluorouracil",CCNK,3
"Cyclophosphamide,Epirubicin,Fluorouracil",TP53,3
"Cyclophosphamide,Epirubicin,Fluorouracil",TOP2A,3
"Cyclophosphamide,Epirubicin,Fluorouracil",INSR,3
"Cyclophosphamide,Epirubicin,Fluorouracil",PIK3R2,3
"Cyclophosphamide,Epirubicin,Fluorouracil",CBR3,3
"Buprenorphine,Methadone",SLC6A4,3
"Cocaine,Ethanol,Nicotine",OPRM1,3
"Cyclophosphamide,Epirubicin,Fluorouracil",RBX1,3
Metformin,CPA6,3
Metformin,NBEA,3
Metformin,PRPF31,3
"Analgesics,Antiinflammatory Agents, Non-Steroids,Ergot Alkaloids,Opioids,Sumatriptan",COMT,3
"Diuretics,Hydrochlorothiazide,Thiazides, Plain",NELFCD,3
"Mercaptopurine,Methotrexate",SLCO1B1,3
"Propofol,Remifentanil",ABCB1,3
Bevacizumab,HSP90AB1,3
Bevacizumab,PRKCA,3
"Mercaptopurine,Methotrexate",ITPA,3
"Acenocoumarol,Phenprocoumon",VKORC1,3
Donepezil,BCHE,3
"Antidepressants,Citalopram,Paroxetine",BDNF,3
Gemcitabine,ABCG2,3
Gemcitabine,POLR2A,3
Oxazepam,,3
Warfarin,UGT1A1,3
Phenytoin,HLA-A,3
Platinum Compounds,SLC31A1,3
Pemetrexed,MTHFR,3
"Atenolol,Hydrochlorothiazide",,3
"Atenolol,Hydrochlorothiazide",ALDH1A2,3
Montelukast,UGT1A3,3
Montelukast,ABCC9,3
Montelukast,CYP2C8,3
"Hmg Coa Reductase Inhibitors, Other Combinations",EYS,3
Hmg-Coa Reductase Inhibitors,EYS,3
"Cyclophosphamide,Doxorubicin",NQO2,3
"Cyclophosphamide,Doxorubicin,Prednisone,Rituximab,Vincristine",GSTA1,3
"Cisplatin,Cyclophosphamide,Doxorubicin,Methotrexate,Vincristine",ABCB1,3
"Cyclophosphamide,Doxorubicin",ALDH1A1,3
"Cyclophosphamide,Doxorubicin",CYP2C19,3
Acetaminophen,SULT1A3,3
Morphine,SULT1A3,3
Tapentadol,SULT1A3,3
"O-Desmethyltramadol,Tramadol",SULT1A3,3
Acetaminophen,"SULT1A3,SULT1A4",3
Morphine,"SULT1A3,SULT1A4",3
Oxcarbazepine,ABCB1,3
Levetiracetam,HLA-A,3
Bupropion,ANKK1,3
"Interferon Beta-1A,Interferon Beta-1B",IRF6,3
Losartan,ABCB1,3
Pioglitazone,CYP2C8,3
"Carboplatin,Docetaxel,Trastuzumab",BARD1,3
"Fluorouracil,Irinotecan,Leucovorin",ABCG2,3
"Carboplatin,Docetaxel,Trastuzumab",ERBB3,3
"Carboplatin,Docetaxel,Trastuzumab",RNF8,3
"Carboplatin,Docetaxel,Trastuzumab",ERBB2,3
Etanercept,TNFRSF1B,3
Fentanyl,UGT2B7,3
Fentanyl,ATF2,3
Opioids,IL17A,3
Fentanyl,ABCB1,3
Acetylcysteine,TOLLIP,3
"Opioid Anesthetics,Other General Anesthetics,Volatile Anesthetics",OPRM1,3
"Opioid Anesthetics,Other General Anesthetics,Volatile Anesthetics",ABCG2,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",CYP1B1,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",ABCG2,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",SLC22A16,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",CYP2C19,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",ABCC2,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",ATM,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",ALDH3A1,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",ERCC1,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",CBR1,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",XRCC1,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",GSTP1,3
"Cyclophosphamide,Doxorubicin,Fluorouracil",ABCB1,3
Stavudine,SAMHD1,3
Tacrolimus,"CYP3A5,ZSCAN25",3
Simvastatin,KIF6,3
Rosuvastatin,KIF6,3
Tacrolimus,NR1I2,3
Cetuximab,RASSF1,3
Duloxetine,KMT2E,3
Duloxetine,NCAM1,3
Phenazepam,CYP2C19,3
Methotrexate,ITPA,3
Cetuximab,FCGR2A,3
Cetuximab,FCGR3A,3
"Bevacizumab,Carboplatin,Cisplatin,Cyanocobalamin,Folic Acid,Pemetrexed",MTHFR,3
"Carboplatin,Cisplatin",MTR,3
Platinum Compounds,MDM2,3
Platinum Compounds,SLC19A1,3
Oxaliplatin,PIN1,3
Irinotecan,PIN1,3
Dapsone,HLA-DRB1,3
Dapsone,HLA-A,3
Risperidone,UGT1A1,3
Fluorouracil,XRCC1,3
"Bumetanide,Furosemide,Torasemide",ACE,3
Clonidine,ADRA2C,3
"Benazepril,Perindopril",ACE,3
Thioridazine,CYP2D6,3
"Chlorthalidone,Lisinopril",MMP3,3
Ceftriaxone,ABCG2,3
Ceftriaxone,ABCC2,3
Methotrexate,"UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9",3
Nevirapine,CYCSP5,3
Ondansetron,CYP3A5,3
Acamprosate,GRIN2B,3
Tocilizumab,FCGR3A,3
Rituximab,FCGR2A,3
Maraviroc,CYP3A5,3
"Drugs For Treatment Of Tuberculosis,Rifampin",RIPOR2,3
Levodopa,SLC6A3,3
Methadone,OPRM1,3
Morphine,IL1B,3
Imatinib,UGT2A1,3
Imatinib,ABCB4,3
Imatinib,ABCC2,3
Imatinib,CHST1,3
Imatinib,NQO1,3
Imatinib,CYP2F1,3
Imatinib,SLC19A1,3
Morphine,KCNJ6,3
Acetaminophen,TRPV1,3
Acetaminophen,UGT2B15,3
Methylphenidate,ABCB1,3
Methylphenidate,TH,3
Methylphenidate,DRD2,3
"Bleomycin,Cisplatin,Etoposide",ABCB1,3
"Bleomycin,Cisplatin,Etoposide",CYP3A4,3
"Bleomycin,Cisplatin,Etoposide",GSTP1,3
"Bleomycin,Cisplatin,Etoposide",BLMH,3
"Bleomycin,Cisplatin,Etoposide",ERCC2,3
"Bleomycin,Cisplatin,Etoposide",ERCC1,3
Allopurinol,NTNG1,3
Allopurinol,GREM2,3
Allopurinol,MYT1L,3
Allopurinol,TRIB2,3
Allopurinol,TBL1XR1,3
Allopurinol,PKD2,3
Allopurinol,ABCG2,3
Morphine,TAOK3,3
Tacrolimus,KCNJ11,3
Phenytoin,CFHR4,3
Methylphenidate,SLC6A2,3
"Isoniazid,Phenytoin",NAT2,3
"Cyclosporine,Sirolimus,Tacrolimus",TCF7L2,3
Tacrolimus,TCF7L2,3
"Sulfonamides, Urea Derivatives","ABCC8,KCNJ11",3
Heroin,OPRM1,3
Nicotine,COMT,3
Sibutramine,GNB3,3
Methamphetamine,OPRM1,3
Ethanol,OPRM1,3
Cocaine,OPRM1,3
Disopyramide,KCNH2,3
Quinidine,KCNH2,3
Ethanol,CYP2E1,3
Ethanol,CHRNA4,3
Nicotine,OPRM1,3
Heroin,OPRK1,3
Nicotine,CYP2B6,3
"Cotinine,Nicotine",CYP2B6,3
Heroin,GAL,3
Heroin,HTR3B,3
Heroin,CSNK1E,3
Nimodipine,CYP3A5,3
Nimodipine,CACNA1C,3
Dextropropoxyphene,CYP3A5,3
Nicotine,CHRNA7,3
Ethanol,CRHBP,3
Bupropion,SLC6A4,3
Nicotine,"ANKK1,DRD2",3
Nicotine,CYP2A13,3
Nicotine,HTR3B,3
"Azathioprine,Mercaptopurine,Thioguanine",,3
Varenicline,HYKK,3
Methamphetamine,BDNF,3
Modafinil,COMT,3
Highly Active Antiretroviral Therapy (Haart),OPRM1,3
"L-Methylfolate,Vitamin B-Complex, Incl. Combinations",MTHFR,3
Cocaine,GABRA2,3
Bupropion,ACE,3
Bupropion,HTR2A,3
Bupropion,DBH,3
Bupropion,SLC18A2,3
Bupropion,FKBP5,3
Pitavastatin,ABCC2,3
Pioglitazone,PPARG,3
Pioglitazone,PTPRD,3
Risperidone,PPA2,3
Risperidone,TJP1,3
Olanzapine,ATP1A2,3
Olanzapine,SPOPL,3
Risperidone,TNFRSF11A,3
Quetiapine,PDE4D,3
Quetiapine,"MIR582,PDE4D",3
Everolimus,RPTOR,3
Prochlorperazine,"ANKK1,DRD2",3
Prochlorperazine,DRD2,3
"Amiloride,Spironolactone",CYP4A11,3
Spironolactone,CYP4A11,3
Pemetrexed,TYMS,3
Heroin,OPRD1,3
Cocaine,OPRD1,3
"Antidepressants,Antipsychotics,Benzodiazepine Derivatives,Opioids,Sympathomimetics",OPRM1,3
Opioids,"ANKK1,DRD2",3
Nicotine,HINT1,3
Heroin,,3
"Heroin,Opioids",OPRM1,3
"Drugs Used In Nicotine Dependence,Nicotine",CHRNA3,3
Nicotine,"CHRNA3,CHRNA5",3
"Amphetamine,Cannabinoids,Cocaine,Opioids",KAT2B,3
"Aripiprazole,Risperidone",DRD2,3
Cannabinoids,OPRM1,3
Oxazepam,UGT2B15,3
Lorazepam,UGT2B15,3
Ethanol,ACSS2,3
Risperidone,"HTT,MSANTD1",3
Risperidone,CYP1B1,3
Risperidone,"UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9",3
Risperidone,CYP2E1,3
Risperidone,AKT1,3
Risperidone,HRH4,3
"Aspirin,Prasugrel","NTRK1,PEAR1",3
Varenicline,CHRNA5,3
Bupropion,CHRNA5,3
"Bupropion,Drugs Used In Nicotine Dependence,Nicotine,Varenicline",CHRNA5,3
Opioids,TAOK3,3
Opioids,ABCB1,3
Oxycodone,ABCB1,3
Heroin,"BDNF,BDNF-AS",3
Atenolol,XIRP2,3
Hydrochlorothiazide,TXNDC11,3
Ethanol,PIP5K1C,3
Ethanol,PNPLA3,3
Fentanyl,ADRB2,3
Fentanyl,CYP3A5,3
Sertraline,"GNB3,P3H3",3
Fentanyl,CYP3A4,3
"Ethambutol,Isoniazid,Pyrazinamide,Rifampin",CYP2C9,3
"Ethambutol,Isoniazid,Pyrazinamide,Rifampin",CYP2C19,3
"Fluorouracil,Leucovorin,Oxaliplatin",MTHFR,3
"Capecitabine,Fluorouracil,Leucovorin,Oxaliplatin",MTHFR,3
Ethanol,,3
"Buprenorphine,Fentanyl,Tramadol",OPRD1,3
"Buprenorphine,Fentanyl,Tramadol",ARRB2,3
Deferasirox,CYP27B1,3
Deferasirox,UGT1A1,3
Deferasirox,GC,3
Deferasirox,VDR,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,"SH3BP2,TNFAIP3",3
Ethanol,MAP2K4,3
Nicotine,ADGRL3,3
Imatinib,CYP1A2,3
Imatinib,"ABCB1,RUNDC3B",3
Mexiletine,SCN4A,3
Flecainide,SCN4A,3
"Flecainide,Mexiletine",SCN4A,3
Rocuronium,ABCB1,3
Migalastat,"GLA,HNRNPH2",3
Migalastat,GLA,3
"Azathioprine,Mercaptopurine",NUDT15,3
Fentanyl,P2RX7,3
Tianeptine,OPRM1,3
Ibuprofen,CYP2C8,3
Drugs For Treatment Of Tuberculosis,XPO1,3
Desmethylnaproxen,SULT1A1,3
Acetaminophen,SULT1A1,3
Tapentadol,"NPIPB8,SULT1A1",3
Desmethylnaproxen,"NPIPB8,SULT1A1",3
Acetaminophen,"NPIPB8,SULT1A1",3
Tapentadol,SULT1A1,3
Conjugated Estrogens,SULT1A1,3
Cisplatin,AQP1,3
Ethanol,SRPRB,3
Acetaldehyde,ADH1A,3
Abt-751,UGT1A8,3
Beta Blocking Agents,KL,3
Calcium Channel Blockers,CACNA1C,3
Metoprolol,ADRB1,3
Glucocorticoids,HSD3B1,3
"Fluorouracil,Irinotecan,Leucovorin","KLC1,XRCC3",3
"Isoniazid,Rifampin",NOS2,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B","IFNL3,IFNL4",3
Caffeine,ADORA2A,3
Sorafenib,SLC15A2,3
"Aspirin,Clopidogrel,Prasugrel",PEAR1,3
Rosiglitazone,PLIN1,3
Acetaldehyde,ADH1B,3
Antithyroid Preparations,,3
Methadone,CCL11,3
Methadone,OPRD1,3
Fentanyl,MYD88,3
Methylphenidate,ALDH1L1,3
Fentanyl,CACNA1E,3
Cisplatin,SLC22A2,3
L-Phenylalanine,PAH,3
Carbocisteine,PAH,3
"Atenolol,Hydrochlorothiazide,Metoprolol",SLC25A31,3
Atenolol,ZMAT4,3
Simvastatin,,3
Platinum Compounds,SLC22A2,3
"3,4-Methylenedioxymethamphetamine",CYP2C19,3
Tolterodine,CYP2D6,3
Hmg-Coa Reductase Inhibitors,APOE,3
Pravastatin,APOE,3
Fluvastatin,APOE,3
Fenofibrate,APOE,3
Warfarin,APOE,3
Simvastatin,APOE,3
Propranolol,ADRB2,3
Antihypertensives,PTPRD,3
Antihypertensives,,3
Fentanyl,CYP2D6,3
"O-Desmethyltramadol,Tramadol",,3
"O-Desmethyltramadol,Tramadol",RGL4,3
"O-Desmethyltramadol,Tramadol",ICA1,3
"O-Desmethyltramadol,Tramadol",HCN1,3
"O-Desmethyltramadol,Tramadol",RFPL4B,3
Acetaldehyde,PGM1,3
Mycophenolic Acid,SLCO1B3,3
Ethanol,OPRK1,3
Botulinum Toxin Type A,TRPV1,3
Botulinum Toxin Type A,CALCA,3
Letermovir,SLCO1B1,3
Letermovir,UGT1A1,3
Heroin,DRD2,3
Opioids,DRD2,3
"Atenolol,Metoprolol",SLC4A1,3
"Atenolol,Metoprolol",,3
Adalimumab,,3
Cocaine,SYT1,3
Disulfiram,SLC6A3,3
Ethanol,RABGAP1L,3
Atazanavir,SORCS2,3
Vitamin K1,CYP4F2,3
Warfarin,APOB,3
Lopinavir,"CYP3A5,ZSCAN25",3
Amprenavir,SLCO1B1,3
Lopinavir,CYP3A4,3
Hydrochlorothiazide,NUCB2,3
Metoprolol,,3
Atenolol,RRP1B,3
Candesartan,SH2B3,3
Hydrochlorothiazide,C5ORF56,3
Candesartan,KCNK3,3
Hydrochlorothiazide,CSK,3
Hydrochlorothiazide,PDE3A,3
Candesartan,SULT1C3,3
Atenolol,STN1,3
Atenolol,TBX2,3
Hydrochlorothiazide,PLCE1,3
Hydrochlorothiazide,ADO,3
Hydrochlorothiazide,PRKAG2,3
Candesartan,"DOT1L,PLEKHJ1",3
Remifentanil,ABCB1,3
Opioids,MCOLN1,3
"Docetaxel,Fec100,Gemcitabine,Trastuzumab,Zoledronate",PPCDC,3
"Docetaxel,Fec100,Gemcitabine,Trastuzumab,Zoledronate",,3
"Phenobarbital,Phenytoin",MTHFR,3
"Beta Blocking Agents, Selective",BST1,3
Antipsychotics,DGKB,3
Ethanol,ANKS1B,3
Heroin,ANKS1B,3
Methamphetamine,ANKS1B,3
Oxycodone,OPRD1,3
Oxycodone,,3
Cisplatin,ERCC1,3
Opioids,PDYN,3
Artemether,CYP2B6,3
Budesonide,,3
Ethanol,SLC6A4,3
"Cisplatin,Fluorouracil,Mitoxantrone",,3
"Cisplatin,Fluorouracil",GALNT14,3
Sorafenib,GALNT14,3
"Carboplatin,Gemcitabine",C6ORF15,3
"Carboplatin,Gemcitabine",SERPINC1,3
"Carboplatin,Gemcitabine",ATAT1,3
"Carboplatin,Gemcitabine",,3
"Carboplatin,Gemcitabine",PPP1R18,3
"Carboplatin,Gemcitabine","CDSN,PSORS1C1",3
"Carboplatin,Gemcitabine",HLA-C,3
"Carboplatin,Gemcitabine",MUCL3,3
"Carboplatin,Gemcitabine",HCP5,3
"Carboplatin,Gemcitabine",PRRC2A,3
"Carboplatin,Gemcitabine",TNF,3
"Carboplatin,Gemcitabine",MSH5,3
"Carboplatin,Gemcitabine",DOCK8,3
"Carboplatin,Gemcitabine",CYP2C8,3
"Carboplatin,Gemcitabine",SERPINA5,3
"Carboplatin,Gemcitabine",XYLT2,3
"Carboplatin,Gemcitabine",ETS2,3
Tenofovir Disoproxil Fumarate,SLC28A2,3
Tenofovir Disoproxil Fumarate,CYP24A1,3
Tenofovir Disoproxil Fumarate,CYP27B1,3
Temozolomide,ABCB1,3
Creatine,MOBP,3
Desloratadine,HRH1,3
Cisplatin,OTOS,3
Cisplatin,ABCC3,3
Cisplatin,SLC16A5,3
Efavirenz,ABCB1,3
Efavirenz,CYP2A6,3
Ethanol,CACNA1C,3
Lurasidone,HTR1A,3
Drugs For Treatment Of Tuberculosis,ABCC2,3
Interferon Beta-1A,RORA,3
Gefitinib,RELA,3
Gefitinib,IKBKB,3
Gefitinib,IKBKE,3
Gefitinib,NFKBIA,3
Gefitinib,"NFKBIB,SIRT2",3
Gefitinib,NR1H2,3
Gefitinib,TAB2,3
Progesterone,CYP2C19,3
Ethanol,"ANKK1,DRD2",3
Oxycodone,CYP3A5,3
Sufentanil,CYP3A5,3
Sufentanil,ABCB1,3
Methamphetamine,FAAH,3
Opioids,ADGRV1,3
Diclofenac,CYP2C8,3
Hydralazine / Isosorbide Dinitrate,GNB3,3
Methadone,GAD1,3
Methadone,OPRK1,3
Dipyrone,CYP2C19,3
Dipyrone,CYP2C9,3
Opioids,CRYBG2,3
Opioids,CLCC1,3
Opioids,POM121L2,3
Opioids,ZNF165,3
Opioids,MUC16,3
Opioids,PDE3A,3
Opioids,ZNF568,3
Morphine,ABCC3,3
Alprazolam,CYP3A4,3
Cocaine,"CHRNA3,CHRNA5",3
Opioids,TH,3
Imatinib,CYP3A4,3
Amlodipine,CYP3A5,3
Fesoterodine,CYP3A4,3
Methadone,"COMT,TXNRD2",3
Morphine,SLC6A4,3
Vancomycin,HLA-A,3
Ethanol,PDE4B,3
Ethanol,GCKR,3
Ethanol,THSD7B,3
Ethanol,CADM2,3
Ethanol,ADH1C,3
Ethanol,SLC39A8,3
Antineoplastic Agents,TP53,3
Ethanol,DPP6,3
Ethanol,"MED19,TMX2",3
Ethanol,SLC4A8,3
Ethanol,ARID4A,3
Ethanol,TNRC6A,3
Ethanol,FTO,3
Ethanol,FUT2,3
Ethylmorphine,CYP2D6,3
Hydrocodone,CYP2D6,3
Codeine,CYP2D6,3
Dihydrocodeine,CYP2D6,3
Methotrexate,HLA-G,3
Clozapine,UGT1A1,3
Raloxifene,UGT1A1,3
Metronidazole,CYP2A6,3
Tranilast,UGT1A1,3
Nilotinib,UGT1A1,3
Oxcarbazepine,HLA-A,3
Dabigatran,CYP3A5,3
"Ketoprofen,Tramadol",CYP2D6,3
Tafenoquine,,3
Peginterferon Alfa-2A,"IFNL3,IFNL4",3
Sofosbuvir,"IFNL3,IFNL4",3
Interferons,"IFNL3,IFNL4",3
Buprenorphine,PNOC,3
Methadone,PNOC,3
Methadone,"CYP2A7P1,CYP2B6",3
Methadone,COMT,3
"Carboplatin,Cisplatin,Oxaliplatin,Platinum,Platinum Compounds",ERCC1,3
Atazanavir,UGT1A1,3
Antidepressants,"HTR7,RPP30",3
Selective Serotonin Reuptake Inhibitors,HTR7,3
Paroxetine,"HTR7,RPP30",3
Escitalopram,"HTR7,RPP30",3
"Cisplatin,Oxaliplatin,Platinum,Platinum Compounds","ERCC2,KLC3",3
Platinum Compounds,TP53,3
Corticosteroids,CRHR1,3
Cisplatin,XPC,3
Cisplatin,"TMEM43,XPC",3
Dapsone,HLA-B,3
Sunitinib,ABCG2,3
Sorafenib,UGT1A1,3
Methotrexate,ABCC3,3
Omeprazole,CYP2C19,3
"Pravastatin,Simvastatin",HMGCR,3
Lovastatin Acid,SLCO1B1,3
Clobazam,CYP2C19,3
Corticosteroids,ADRB2,3
"Corticosteroids,Selective Beta-2-Adrenoreceptor Agonists",ADRB2,3
Rosuvastatin,LPA,3
Carbamazepine,EPHX1,3
Tegafur,UMPS,3
"Cisplatin,Oxaliplatin,Platinum Compounds",MTHFR,3
Lopinavir,SLCO1B1,3
"Interferon Alfa-2B, Recombinant,Ribavirin",ITPA,3
"Fluorouracil,Folfox",TYMS,3
Drugs For Treatment Of Tuberculosis,,3
"Cisplatin,Oxaliplatin,Platinum Compounds",GSTP1,3
Nicotine,ANKK1,3
Risperidone,SLC6A4,3
Carbamazepine,SCN1A,3
Warfarin,CALU,3
Phenprocoumon,CYP4F2,3
"Diuretics,Hydrochlorothiazide",NEDD4L,3
Hmg-Coa Reductase Inhibitors,CETP,3
Cyclophosphamide,SOD2,3
Tacrolimus,POR,3
Rosiglitazone,CYP2C8,3
Sunitinib,FLT3,3
Methotrexate,MTRR,3
Bisphosphonates,FDPS,3
Salbutamol,CRHR2,3
"Etoposide,Platinum Compounds",DYNC2H1,3
"Cisplatin,Oxaliplatin,Platinum Compounds",GSTM1,3
Hydrochlorothiazide,ACE,3
Nortriptyline,GNB3,3
Mirtazapine,SLC6A4,3
"Antidepressants,Selective Serotonin Reuptake Inhibitors",FKBP5,3
Fluindione,VKORC1,3
Warfarin,EPHA7,3
Anthracyclines And Related Substances,CBR3,3
Anthracyclines And Related Substances,CBR1,3
Esomeprazole,STAT6,3
Antipsychotics,HTR2C,3
Risperidone,HTR2C,3
Clozapine,HTR2C,3
Escitalopram,HTR2C,3
Tamoxifen,CYP19A1,3
Amitriptyline,CYP2D6,3
Gemcitabine,NT5C2,3
Salbutamol,COL22A1,3
"Furosemide,Spironolactone",ADD1,3
Cerivastatin,SLCO1B1,3
Sirolimus,CYP3A5,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,SLCO1C1,3
"Cyclosporine,Tacrolimus",CRTC2,3
Selective Serotonin Reuptake Inhibitors,CYP2D6,3
"Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin,Simeprevir","IFNL3,IFNL4",3
"Daclatasvir,Peginterferon Alfa-2A,Peginterferon Alfa-2B,Ribavirin","IFNL3,IFNL4",3
Trastuzumab,FCGR3A,3
Anthracyclines And Related Substances,HAS3,3
Trastuzumab,FCGR2A,3
"Asparaginase,Cyclophosphamide,Daunorubicin,Prednisolone,Vincristine",PNPLA3,3
"Azathioprine,Mercaptopurine,Thioguanine",NUDT15,3
Selective Serotonin Reuptake Inhibitors,COMT,3
Pravastatin,SLCO1B1,3
Anthracyclines And Related Substances,SLC28A3,3
"Peginterferon Alfa-2B,Ribavirin",VDR,3
Irinotecan,SEMA3C,3
Phenytoin,SCN1A,3
Sildenafil,GNB3,3
Rituximab,FCGR3A,3
Naloxone,OPRM1,3
Irinotecan,C8ORF34,3
Gliclazide,KCNJ11,3
Atenolol,GNB3,3
Pravastatin,CETP,3
Alfentanil,OPRM1,3
"Buprenorphine,Fentanyl,Tramadol",OPRM1,3
Fentanyl,OPRM1,3
Hydrocodone,OPRM1,3
Morphine,OPRM1,3
Codeine,OPRM1,3
Sufentanil,OPRM1,3
"Acetaminophen,Tramadol",OPRM1,3
"Buprenorphine,Fentanyl,Tramadol",COMT,3
Buprenorphine,COMT,3
Fentanyl,COMT,3
Morphine,COMT,3
Remifentanil,COMT,3
Oxycodone,COMT,3
Oxycodone,OPRM1,3
Methadone,CYP2D6,3
"Fluorouracil,Folfiri,Folfox",TYMS,3
Acetaldehyde,ALDH2,3
Ethanol,ALDH2,3
